match_id,date,stage,group,home_team,away_team,stadium,city,country,tournament,neutral,home_score,away_score,home_score_90,away_score_90,home_score_120,away_score_120,went_extra_time,went_penalties,penalty_winner,first_shooter
87,2026-07-03,Round of 32,NA,Winner Group K,3rd Group D/E/I/J/L,Arrowhead Stadium,Kansas City,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,2026-07-03,Round of 32,NA,Runner-up Group D,Runner-up Group G,AT&T Stadium,Arlington,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,2026-07-04,Round of 16,NA,Winner Match 74,Winner Match 77,Lincoln Financial Field,Philadelphia,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,2026-07-04,Round of 16,NA,Winner Match 73,Winner Match 75,NRG Stadium,Houston,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,2026-07-05,Round of 16,NA,Winner Match 76,Winner Match 78,MetLife Stadium,East Rutherford,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2026-07-05,Round of 16,NA,Winner Match 79,Winner Match 80,Estadio Azteca,Mexico City,Mexico,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,2026-07-06,Round of 16,NA,Winner Match 83,Winner Match 84,AT&T Stadium,Arlington,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,2026-07-06,Round of 16,NA,Winner Match 81,Winner Match 82,Lumen Field,Seattle,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,2026-07-07,Round of 16,NA,Winner Match 86,Winner Match 88,Mercedes-Benz Stadium,Atlanta,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,2026-07-07,Round of 16,NA,Winner Match 85,Winner Match 87,BC Place,Vancouver,Canada,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,2026-07-09,Quarterfinal,NA,Winner Match 89,Winner Match 90,Gillette Stadium,Foxborough,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2026-07-10,Quarterfinal,NA,Winner Match 93,Winner Match 94,SoFi Stadium,Inglewood,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,2026-07-11,Quarterfinal,NA,Winner Match 91,Winner Match 92,Hard Rock Stadium,Miami Gardens,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,2026-07-11,Quarterfinal,NA,Winner Match 95,Winner Match 96,Arrowhead Stadium,Kansas City,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,2026-07-14,Semifinal,NA,Winner Match 97,Winner Match 98,AT&T Stadium,Arlington,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,2026-07-15,Semifinal,NA,Winner Match 99,Winner Match 100,Mercedes-Benz Stadium,Atlanta,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2026-07-18,Third place,NA,Loser Match 101,Loser Match 102,Hard Rock Stadium,Miami Gardens,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,2026-07-19,Final,NA,Winner Match 101,Winner Match 102,MetLife Stadium,East Rutherford,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
